DENVER WSFO AP                 52220  3945 10452  5280     4    1.              
1950  1     47
1950  2     20
1950  3     31
1950  4    298
1950  5    280
1950  6    332
1950  7     56
1950  8     27
1950  9    158
1950 10     12
1950 11    100
1950 12     32
1951  1     83
1951  2     78
1951  3    147
1951  4    201
1951  5    178
1951  6    227
1951  7     83
1951  8    447
1951  9     97
1951 10    216
1951 11    117
1951 12     69
1952  1      1
1952  2     68
1952  3    212
1952  4    275
1952  5    306
1952  6     12
1952  7    106
1952  8    141
1952  9     54
1952 10     18
1952 11    131
1952 12     19
1953  1     39
1953  2    139
1953  3    115
1953  4    129
1953  5    266
1953  6    146
1953  7    198
1953  8    125
1953  9     20
1953 10     44
1953 11    100
1953 12    102
1954  1     23
1954  2      4
1954  3     49
1954  4     88
1954  5     60
1954  6     66
1954  7    199
1954  8     51
1954  9     77
1954 10      6
1954 11     57
1954 12     71
1955  1     23
1955  2     85
1955  3    114
1955  4     48
1955  5    247
1955  6    139
1955  7    299
1955  8    241
1955  9    272
1955 10     66
1955 11     56
1955 12     15
1956  1     39
1956  2     77
1956  3     89
1956  4     72
1956  5    236
1956  6     44
1956  7    417
1956  8    183
1956  9      1
1956 10     27
1956 11    125
1956 12     62
1957  1     32
1957  2     73
1957  3    109
1957  4    413
1957  5    731
1957  6    109
1957  7    129
1957  8    203
1957  9     42
1957 10    262
1957 11     49
1957 12      6
1958  1     73
1958  2    100
1958  3    148
1958  4    173
1958  5    446
1958  6    147
1958  7    350
1958  8    117
1958  9    151
1958 10     37
1958 11     74
1958 12     64
1959  1    124
1959  2    131
1959  3    285
1959  4    135
1959  5    333
1959  6     44
1959  7     83
1959  8     25
1959  9    182
1959 10    246
1959 11     40
1959 12     26
1960  1     77
1960  2    166
1960  3     89
1960  4    256
1960  5    227
1960  6     63
1960  7    131
1960  8      6
1960  9     38
1960 10    246
1960 11     49
1960 12    150
1961  1      7
1961  2     66
1961  3    251
1961  4    106
1961  5    412
1961  6    111
1961  7    160
1961  8    121
1961  9    467
1961 10     77
1961 11     93
1961 12     30
1962  1    133
1962  2    105
1962  3     52
1962  4    110
1962  5     84
1962  6    152
1962  7     54
1962  8     46
1962  9     19
1962 10      5
1962 11     68
1962 12     17
1963  1     71
1963  2     21
1963  3    142
1963  4      3
1963  5     68
1963  6    359
1963  7     55
1963  8    252
1963  9    125
1963 10     31
1963 11     45
1963 12     51
1964  1     26
1964  2    104
1964  3    138
1964  4    125
1964  5    253
1964  6     82
1964  7     72
1964  8     27
1964  9     41
1964 10     18
1964 11     88
1964 12     40
1965  1    100
