DENVER WSFO AP                 52220  3945 10452  5280     4    1.              
1965  2    127
1965  3    120
1965  4    105
1965  5    182
1965  6    414
1965  7    641
1965  8    106
1965  9    258
1965 10     45
1965 11     36
1965 12     53
1966  1     30
1966  2    128
1966  3     32
1966  4    146
1966  5     34
1966  6    141
1966  7    104
1966  8    206
1966  9    115
1966 10     96
1966 11     32
1966 12     17
1967  1     84
1967  2     39
1967  3     79
1967  4    395
1967  5    477
1967  6    469
1967  7    325
1967  8     83
1967  9     60
1967 10    113
1967 11    101
1967 12    106
1968  1     51
1968  2     74
1968  3     85
1968  4    239
1968  5     71
1968  6     50
1968  7    134
1968  8    253
1968  9     59
1968 10     75
1968 11     71
1968 12     51
1969  1     17
1969  2     43
1969  3    110
1969  4    133
1969  5    612
1969  6    299
1969  7    181
1969  8     79
1969  9    167
1969 10    417
1969 11     62
1969 12     32
1970  1     10
1970  2      1
1970  3    134
1970  4     97
1970  5     64
1970  6    383
1970  7    167
1970  8     54
1970  9    247
1970 10     88
1970 11    119
1970 12      9
1971  1     35
1971  2     78
1971  3     53
1971  4    198
1971  5    134
1971  6     23
1971  7    120
1971  8     85
1971  9    285
1971 10     44
1971 11     16
1971 12     25
1972  1     36
1972  2     44
1972  3     50
1972  4    352
1972  5     49
1972  6    294
1972  7     63
1972  8    271
1972  9    207
1972 10     82
1972 11    169
1972 12     70
1973  1    131
1973  2     16
1973  3    176
1973  4    373
1973  5    506
1973  6     20
1973  7    247
1973  8    128
1973  9    285
1973 10     47
1973 11     83
1973 12    284
1974  1    103
1974  2     82
1974  3    132
1974  4    228
1974  5      6
1974  6    201
1974  7    234
1974  8     16
1974  9     98
1974 10    168
1974 11    106
1974 12     29
1975  1     23
1975  2     37
1975  3    119
1975  4    114
1975  5    280
1975  6    211
1975  7    278
1975  8    200
1975  9     24
1975 10     30
1975 11    188
1975 12     47
1976  1     19
1976  2     54
1976  3    134
1976  4    127
1976  5    134
1976  6     63
1976  7    231
1976  8    250
1976  9    188
1976 10     93
1976 11     32
1976 12     16
1977  1     16
1977  2     27
1977  3    124
1977  4    213
1977  5     34
1977  6    102
1977  7    298
1977  8    100
1977  9     10
1977 10     48
1977 11     59
1977 12      3
1978  1     27
1978  2     27
1978  3    107
1978  4    182
1978  5    346
1978  6    117
1978  7     54
1978  8     26
1978  9      7
1978 10    145
1978 11     50
1978 12     82
1979  1     34
1979  2     42
1979  3    125
1979  4    141
1979  5    353
1979  6    239
1979  7     81
1979  8    585
1979  9     36
1979 10    128
1979 11    166
1979 12    106
1980  1     64
1980  2     45
1980  3    115
1980  4    254
1980  5    273
1980  6      9
1980  7    293
1980  8    165
1980  9     63
1980 10     10
1980 11     66
1980 12     10
1981  1     29
1981  2     35
1981  3    227
1981  4    101
1981  5    376
1981  6     63
1981  7     90
1981  8    116
1981  9     35
1981 10     79
1981 11     42
1981 12     66
1982  1     32
1982  2      9
1982  3     18
1982  4     34
1982  5    348
1982  6    226
1982  7     92
1982  8    116
1982  9    138
1982 10    151
1982 11     47
1982 12    234
1983  1     15
1983  2      7
1983  3    456
1983  4    210
1983  5    362
1983  6    265
1983  7    175
1983  8    151
1983  9     13
1983 10     39
1983 11    263
1983 12     63
1984  1     18
1984  2     81
1984  3    119
1984  4    242
1984  5     65
1984  6    126
1984  7    211
1984  8    320
1984  9     47
1984 10    347
1984 11     27
1984 12     46
1985  1     68
1985  2     59
1985  3     69
1985  4    261
1985  5    133
1985  6    146
1985  7    371
1985  8     28
1985  9    233
1985 10     77
1985 11    120
1985 12     66
1986  1     22
1986  2     65
1986  3     43
1986  4    259
1986  5    130
1986  6    107
1986  7    169
1986  8     53
1986  9     43
1986 10    180
1986 11    107
1986 12     31
1987  1     69
1987  2    121
1987  3    134
1987  4    103
1987  5    464
1987  6    350
1987  7     76
1987  8    200
1987  9     70
1987 10    124
1987 11    162
1987 12    130
1988  1     40
1988  2     60
1988  3    128
1988  4     65
1988  5    426
1988  6    128
1988  7    219
1988  8    183
1988  9     90
1988 10      6
1988 11     47
1988 12    104
1989  1    114
1989  2     66
1989  3     56
1989  4    100
1989  5    383
1989  6    204
1989  7    164
1989  8    128
1989  9    155
1989 10     81
1989 11     15
1989 12     81
1990  1     74
1990  2     55
1990  3    310
1990  4    101
1990  5    151
1990  6     21
1990  7    357
1990  8    196
1990  9    146
1990 10    103
1990 11    128
1990 12     27
1991  1     76
1991  2      8
1991  3     76
1991  4    194
1991  5    243
1991  6    220
1991  7    411
1991  8    369
1991  9     79
1991 10     70
1991 11    267
1991 12     19
1992  1    119
1992  2      9
1992  3    350
1992  4     53
1992  5    113
1992  6    202
1992  7    223
1992  8    233
1992  9      1
1992 10     51
1992 11    146
1992 12     68
